代號	名稱	前交易日收盤價	開盤價	最高價	最低價	收盤價
'1101	台泥	39.8	39.8	40.2	39.65	40.2
'1102	亞泥	43.6	43.65	43.9	43.5	43.65
'2308	台達電	148.5	148.5	148.5	145.5	145.5
'2317	鴻海	73.5	73.8	74.5	73.8	74.5
'2324	仁寶	18.2	18.15	18.2	18.05	18.05
'2330	台積電	265	266	266.5	264	264
'2331	精英	12.85	12.9	13.25	12.85	13
'2332	友訊	12.1	12.15	12.2	12.05	12.15
'2337	旺宏	32.1	32.6	33.8	32.2	33.8
'2423	固緯	25.85	26	26.15	25.8	26
'2427	三商電	10.55	10.55	10.55	10.5	10.55
'2429	銘旺科	18.75	18.75	20.6	18.75	20.6
'2498	宏達電	37.5	37.6	38.15	37.3	37.7
'2504	國產	8.46	9.3	9.3	9.3	9.3
'2505	國揚	12.5	12.5	13.5	12.5	13
'3008	大立光	4300	4320	4350	4290	4300
'3041	揚智	11.7	11.9	12.85	11.9	12.85
'3581	博磊	15.05	15.1	16.55	15.1	16.55
'3588	通嘉	23.7	23.7	26.05	23.7	26.05
'3678	聯享	8.52	8.45	8.45	7.67	7.67
'3679	新至陞	47.5	47.5	47.9	47.4	47.8
'4968	立積	155	160	170.5	159	170.5
'6154	順發	16.1	15.1	15.1	14.5	14.5
'6202	盛群	65.2	65.2	66.8	65.2	66.8
'8087	華鎂鑫	8.29	7.78	8.05	7.47	7.46
'9962	有益	10.75	10.75	10.75	10.65	10.7
